episode,step,score,best_score
488,3783,20.92130846879732,36.91843960178949
489,3788,16.313409768686896,62.019176973224624
490,3794,16.313409768686896,62.019176973224624
491,3800,16.313409768686896,62.019176973224624
492,3804,16.313409768686896,62.019176973224624
493,3809,16.313409768686896,62.019176973224624
494,3813,16.313409768686896,62.019176973224624
495,3817,16.313409768686896,62.019176973224624
496,3821,16.313409768686896,62.019176973224624
497,3825,16.313409768686896,62.019176973224624
498,3830,20.92130846879732,62.019176973224624
499,3834,16.313409768686896,62.019176973224624
500,3840,16.313409768686896,62.019176973224624
501,3844,16.313409768686896,62.019176973224624
502,3849,16.313409768686896,62.019176973224624
503,3853,16.313409768686896,62.019176973224624
504,3858,20.92130846879732,37.64514473294842
505,3862,16.313409768686896,62.019176973224624
506,3866,16.313409768686896,62.019176973224624
507,3870,16.313409768686896,62.019176973224624
508,3875,20.92130846879732,37.64514473294842
509,3879,16.313409768686896,62.019176973224624
510,3883,16.313409768686896,62.019176973224624
511,3888,16.313409768686896,62.019176973224624
512,3892,16.313409768686896,62.019176973224624
513,3896,16.313409768686896,62.019176973224624
514,3901,16.313409768686896,62.019176973224624
515,3906,17.884061459200836,62.019176973224624
516,3910,16.313409768686896,62.019176973224624
517,3916,17.884061459200836,43.317698545925
518,3920,16.313409768686896,62.019176973224624
519,3924,16.313409768686896,62.019176973224624
520,3928,16.313409768686896,62.019176973224624
521,3932,16.313409768686896,62.019176973224624
522,3936,16.313409768686896,62.019176973224624
523,3940,16.313409768686896,62.019176973224624
524,3945,17.88406145920085,43.31769854592501
525,3949,16.313409768686896,62.019176973224624
526,3953,16.313409768686896,62.019176973224624
527,3957,16.313409768686896,62.019176973224624
528,3961,16.313409768686896,62.019176973224624
529,3966,20.92130846879732,36.91843960178949
530,3974,23.863140326772644,84.67085138889678
531,3978,16.313409768686896,62.019176973224624
532,3983,17.884061459200836,62.019176973224624
533,3988,16.313409768686896,62.019176973224624
534,3993,17.88406145920085,43.31769854592501
535,3997,16.313409768686896,62.019176973224624
536,4001,16.313409768686896,62.019176973224624
537,4007,16.313409768686896,62.019176973224624
538,4013,17.88406145920085,43.31769854592501
539,4017,16.313409768686896,62.019176973224624
540,4022,16.313409768686896,62.019176973224624
541,4027,20.92130846879732,62.019176973224624
542,4031,16.313409768686896,62.019176973224624
543,4036,16.313409768686896,62.019176973224624
544,4041,16.313409768686896,62.019176973224624
545,4045,16.313409768686896,62.019176973224624
546,4050,17.88406145920085,43.31769854592501
547,4054,16.313409768686896,62.019176973224624
548,4058,16.313409768686896,62.019176973224624
549,4064,17.88406145920085,43.31769854592501
550,4068,16.313409768686896,62.019176973224624
551,4072,16.313409768686896,62.019176973224624
552,4077,16.313409768686896,62.019176973224624
553,4081,16.313409768686896,62.019176973224624
