episode,step,score,best_as,best_step,best_bcrs,best_mcrs,best_crs,best_score
56,578,23.052815421913007,-22.5,576,41.496317280453255,4.6620396600566565,46.15835694050991,23.65835694050991
57,588,5.356908324082551,-4.258255761604424,584,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
58,598,28.734081751448482,-23.673787422915765,598,47.133540587729875,5.27432858663438,52.40786917436426,28.734081751448482
59,606,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
60,617,27.913170739245302,-25.45913706563017,617,48.14236501754744,5.229942787328033,53.372307804875476,27.913170739245302
61,626,28.299538896901854,-22.900768984470595,626,46.17173342355546,5.028574457816979,51.20030788137244,28.299538896901854
62,634,31.79176348191129,-19.377742775299758,634,46.073037583597724,5.096468673613328,51.169506257211054,31.79176348191129
63,641,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
64,646,23.052815421913007,-24.04691464218674,646,42.3473272699496,4.752402794150135,47.09973006409974,23.052815421913007
65,654,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
66,661,-30.72465729173941,-inf,0,-inf,-inf,-inf,0.0
67,668,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
68,679,-24.43839969040047,-inf,0,-inf,-inf,-inf,0.0
69,686,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
70,697,4.541202779152783,-14.209137065630122,694,24.107581383937976,2.3035316145276106,26.411112998465587,12.201975932835463
71,708,4.541202779152782,-8.612265896583384,704,23.552452271964416,2.333914159761272,25.886366431725687,17.2741005351423
72,718,5.356908324082551,-4.258255761604424,713,22.679395782947633,2.2831021065521018,24.962497889499737,20.704242127895306
73,726,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
74,733,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
75,741,-19.15868655757489,-inf,0,-inf,-inf,-inf,0.0
76,748,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
77,755,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
78,762,-19.15868655757489,-inf,0,-inf,-inf,-inf,0.0
79,775,31.034721355294295,-24.411656266226018,775,50.05441921128104,5.391958410239259,55.446377621520305,31.034721355294295
80,782,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
81,795,3.5451297991479844,-12.796914642186684,790,23.51038454334712,2.244911610166654,25.755296153513772,12.95838151132709
82,800,23.052815421913007,-24.04691464218674,800,42.3473272699496,4.752402794150135,47.09973006409974,23.052815421913007
83,811,-19.967007512084336,-inf,0,-inf,-inf,-inf,0.0
84,816,-23.23398911045571,-inf,0,-inf,-inf,-inf,0.0
85,824,28.94254146367446,-21.23465929584281,824,45.11467919380212,5.062521565715154,50.17720075951727,28.94254146367446
86,831,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
87,838,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
88,850,-21.26518349135899,-inf,0,-inf,-inf,-inf,0.0
89,858,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
90,868,5.356908324082551,-4.258255761604428,864,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
91,874,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
92,883,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
93,889,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
94,897,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
95,904,-25.366913624580416,-inf,0,-inf,-inf,-inf,0.0
96,911,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
97,921,5.855670169564174,-16.711051805665207,918,22.781061334230728,2.2861701601083753,25.067231494339104,8.356179688673897
98,928,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
99,935,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
100,942,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
101,947,-23.23398911045571,-inf,0,-inf,-inf,-inf,0.0
102,954,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
103,966,4.541202779152785,-14.209137065630122,963,24.10758138393798,2.3035316145276106,26.41111299846559,12.201975932835465
104,976,5.356908324082551,-4.258255761604428,972,22.67939578294763,2.2831021065521018,24.96249788949973,20.704242127895306
105,986,5.356908324082551,-4.258255761604428,982,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
106,993,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
107,1003,-24.43839969040047,-inf,0,-inf,-inf,-inf,0.0
108,1010,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
